填写表,负责人,英文 key,中文字段,类型,要求,说明与校验,格式示例（非真实）,可选值
01_房源挂牌,产品 A,reviewed_by,核验人,text,条件必填,verification_status 为 verified 时填写实际核验人；不得默认已核验。,产品 A,
01_房源挂牌,产品 A,notes,缺失与限制说明,text,选填,记录未披露字段、冲突、过期风险等；未知数值留空而不是填 0。,格式示例，非真实数据,
02_成交记录,产品 A,transaction_id,内部交易 ID,text,必填,本表唯一；交易 ID 不能当作房屋 ID。,DEMO-T-001,
02_成交记录,产品 A,source_record_id,来源交易记录 ID,text,选填,保留原始登记/来源编号，用于去重；未知留空。,DEMO-REG-001,
02_成交记录,产品 A,property_id,内部房屋 ID,text,选填,有独立可靠的物理房屋身份依据才填写；不能仅以楼宇、面积匹配生成。,DEMO-P-001,
02_成交记录,产品 A,record_type,记录类型,enum,必填,出售、租赁、抵押、赠与分别记录；价格对比首版只使用符合条件的出售记录。,sale,sale | lease | mortgage | gift | other | unknown
02_成交记录,产品 A,transaction_scope,交易范围,enum,必填,整套、部分份额、打包交易要区分，不能直接混算单套价格。,whole_unit,whole_unit | partial_share | bulk | unknown
02_成交记录,产品 A,transaction_date,成交或登记日期,date,必填,以来源口径为准，date_basis 指明这是成交日期还是登记日期；缺失时留空并标待核验，不进入时间轴。,示例：2026-08-01,
02_成交记录,产品 A,date_basis,日期口径,enum,必填,source_date 另存来源发布时间。,registration,contract | registration | unknown
02_成交记录,产品 A,amount,交易金额,number,必填,以原始交易金额填写；不要填估值、挂牌价或 AI 推断。,1800000,
02_成交记录,产品 A,currency,交易币种,enum,必填,按来源原币种填写。,AED,AED | USD | EUR | GBP | other
02_成交记录,产品 A,area_name,区域或社区,text,必填,沿用来源名称；不同来源别名由产品给映射，不自行视为同一区域。,DEMO-AREA,
02_成交记录,产品 A,building_name,楼宇或项目名称,text,选填,来源中的楼宇/项目名称；同楼不等于同一套房。,DEMO-BUILDING,
02_成交记录,产品 A,unit_ref,单元或房屋标识,text,选填,仅填来源可靠披露且可用于此 Demo 的单元标识；没有则留空。,DEMO-UNIT-01,
02_成交记录,产品 A,property_type,物业类型,enum,必填,与现房/期房和挂牌状态分开。,apartment,apartment | villa | townhouse | penthouse | land | other | unknown
02_成交记录,产品 A,bedrooms,卧室数,integer,选填,Studio 填 0；未披露留空；不要填“未知”到数值列。,2,
02_成交记录,产品 A,area_value,面积数值,number,条件必填,如来源披露面积则填数值，同时填写单位和面积口径。,120,
02_成交记录,产品 A,area_unit,面积单位,enum,条件必填,有面积数值必须填单位；开发端可换算但不能静默改变面积口径。,sqm,sqm | sqft
02_成交记录,产品 A,area_basis,面积口径,enum,条件必填,有面积数值必须给出口径；不明时填 unknown。,unknown,internal | gross | built_up | land | unknown
02_成交记录,产品 A,registration_segment,登记时现房或期房,enum,选填,交易发生时的现房/期房类别，不自动等于当前挂牌状态。,ready,ready | off_plan | unknown
02_成交记录,产品 A,evidence_excerpt,交易证据摘录,text,条件必填,已核验记录需记录金额、日期与类型的证据位置/摘录；内部资料可以使用页码或行号。,DEMO 记录，非真实成交,
02_成交记录,产品 A,data_kind,数据性质,enum,必填,真实公开、真实授权与演示数据必须区分；不能以公开可见替代使用许可。,demo,real_public | real_authorized | demo
02_成交记录,产品 A,source_name,来源名称,text,必填,网站、登记机关或授权脱敏资料名称；演示数据填“演示样例”。,演示样例,
02_成交记录,产品 A,source_ref,来源链接或资料编号,text,必填,公开数据填可追溯原文 URL；内部资料填脱敏文件编号，不填访问令牌或个人身份信息。,DEMO-SOURCE-001,
02_成交记录,产品 A,source_date,来源发布日期,date,选填,仅填原文明确的完整日期；不把采集日期、登记日期或估计日期填在这里。,示例：2026-09-03,
02_成交记录,产品 A,captured_at,采集或整理时间,datetime,必填,实际采集/整理时间，采用 ISO 8601 且含时区。,示例：2026-09-03T10:00:00+08:00,
02_成交记录,产品 A,verification_status,核验状态,enum,必填,verified 表示产品已核验相应字段；source-backed 不自动意味着可用。,needs_review,verified | needs_review | conflict
02_成交记录,产品 A,usage_status,使用许可状态,enum,必填,approved 表示已确认可用于本 Demo；pending 待确认；restricted 不可导入演示。,pending,approved | pending | restricted
02_成交记录,产品 A,reviewed_by,核验人,text,条件必填,verification_status 为 verified 时填写实际核验人；不得默认已核验。,产品 A,
02_成交记录,产品 A,notes,缺失与限制说明,text,选填,记录未披露字段、冲突、过期风险等；未知数值留空而不是填 0。,格式示例，非真实数据,
03_房源成交关联,产品 A,link_id,关联 ID,text,必填,本表唯一；作为匹配参考和价格证据的引用 ID。,DEMO-LINK-001,
03_房源成交关联,产品 A,listing_id,挂牌 ID,text,必填,必须已存在于房源挂牌表。,DEMO-L-001,
03_房源成交关联,产品 A,transaction_id,交易 ID,text,必填,必须已存在于成交记录表。,DEMO-T-001,
03_房源成交关联,产品 A,relation_type,关联类型,enum,必填,exact_property 同一房屋且有证据；comparable 可比对象；unresolved 尚不能判断。,unresolved,exact_property | comparable | unresolved
03_房源成交关联,产品 A,match_basis,关联或可比依据,text,必填,exact_property 需说明稳定单元标识/授权记录如何对应；同楼或面积相近只能作为可比依据。,待产品核验，不据相似名称合并,
03_房源成交关联,产品 A,differences,差异与不可比因素,text,选填,面积口径、楼层、朝向、交易时间、装修、份额等差异。,房屋身份未确认,
03_房源成交关联,产品 A,pricing_eligible,是否可用于价格参考,enum,必填,yes 仅在交易类型、范围、币种、时间、面积口径和来源核验满足首版规则时使用；不代表估值预测。,pending,yes | no | pending
03_房源成交关联,产品 A,evidence_refs,关联证据引用,text,必填,填写两侧来源引用或授权内部资料编号；多个用 | 分隔。,DEMO-SOURCE-L|DEMO-SOURCE-T,
03_房源成交关联,产品 A,verification_status,关联核验状态,enum,必填,此列专门表示关联是否核验，不能继承单条交易的核验状态。,needs_review,verified | needs_review | conflict
03_房源成交关联,产品 A,reviewed_by,关联核验人,text,条件必填,verified 时必须填写。,产品 A,
03_房源成交关联,产品 A,reviewed_at,关联核验时间,datetime,条件必填,verified 时记录带时区的真实时间。,示例：2026-09-03T11:00:00+08:00,
03_房源成交关联,产品 A,data_kind,数据性质,enum,必填,任一关联对象为演示时，关联也必须标 demo。,demo,real_public | real_authorized | demo
03_房源成交关联,产品 A,notes,备注,text,选填,未解决的关联问题和排除原因。,,
04_客户需求,产品 B,requirement_id,客户需求 ID,text,必填,本表唯一；修改需求版本时保留旧版本并分配新 ID。,DEMO-R-001,
04_客户需求,产品 B,client_id,脱敏客户 ID,text,必填,使用脱敏代号，禁止以电话号码、邮箱或真实姓名当作 ID。,DEMO-C-001,
04_客户需求,产品 B,client_alias,客户代称,text,必填,例如客户 A；不得填真实联系方式。,演示客户 A,
04_客户需求,产品 B,sales_owner,负责销售,text,选填,内部允许使用的姓名或代号；未知留空。,销售 A,
04_客户需求,产品 B,raw_request,脱敏需求原文,text,必填,客户主动提供的需求或授权脱敏沟通摘要，作为结构化条件的依据。,演示：预算 180–220 万 AED，偏好两居,
04_客户需求,产品 B,budget_min,预算下限,number,选填,仅填客户明确表达的预算；未知留空，不推断财富。,1800000,
04_客户需求,产品 B,budget_max,预算上限,number,选填,若有上下限，必须下限不大于上限。,2200000,
04_客户需求,产品 B,currency,预算币种,enum,条件必填,有预算数值时填写。,AED,AED | USD | EUR | GBP | other
04_客户需求,产品 B,budget_constraint,预算约束,enum,必填,hard 硬性上限；flexible 可协商；未表态填 unknown。,unknown,hard | flexible | unknown
04_客户需求,产品 B,preferred_areas,偏好区域,multi_text,选填,多值用 | 分隔；保留客户原话及与区域字典的映射。,DEMO-AREA-A|DEMO-AREA-B,
04_客户需求,产品 B,property_types,偏好物业类型,multi_text,选填,使用房源物业类型英文 key，多值用 | 分隔。,apartment|penthouse,
04_客户需求,产品 B,bedrooms_min,最少卧室数,integer,选填,Studio 为 0，未知留空。,2,
04_客户需求,产品 B,area_min,最小面积,number,选填,同时记录单位；面积口径不清时在硬条件/备注说明。,100,
04_客户需求,产品 B,area_unit,面积单位,enum,条件必填,有最小面积时填写。,sqm,sqm | sqft
04_客户需求,产品 B,purchase_purpose,购买目的,enum,必填,客户主动说明的目的；未知用 unknown。,unknown,self_use | investment | mixed | unknown
04_客户需求,产品 B,market_preference,现房期房偏好,enum,必填,客户未表态填 unknown，不把未表态当作均可。,unknown,ready | off_plan | either | unknown
04_客户需求,产品 B,purchase_by,计划购买日期,date,选填,仅明确完整日期时填；“尽快”“本季度”保留在原文/备注。,示例：2026-12-01,
04_客户需求,产品 B,move_in_by,最晚入住日期,date,选填,未知留空；与计划购买日期分开。,示例：2027-01-01,
04_客户需求,产品 B,hard_constraints,其他硬性条件,text,选填,如必须带车位；只采用客户明确表达的条件。,必须两居；预算上限不可超,
04_客户需求,产品 B,soft_preferences,可协商偏好,text,选填,如偏好高楼层、泳池等；不自动升级成排除条件。,偏好泳池,
04_客户需求,产品 B,intent_evidence,购买意愿证据,text,选填,记录主动约看、报价、时间计划等实际信号，不填凭空推断的意愿分数。,演示客户要求下周安排看房,
04_客户需求,产品 B,missing_questions,尚需追问,text,选填,列影响推荐的缺口，例如预算是否含费用。,预算是否包含交易费用？,
04_客户需求,产品 B,data_kind,数据性质,enum,必填,真实公开、真实授权与演示数据必须区分；不能以公开可见替代使用许可。,demo,real_public | real_authorized | demo
04_客户需求,产品 B,source_name,来源名称,text,必填,网站、登记机关或授权脱敏资料名称；演示数据填“演示样例”。,演示样例,
04_客户需求,产品 B,source_ref,来源链接或资料编号,text,必填,公开数据填可追溯原文 URL；内部资料填脱敏文件编号，不填访问令牌或个人身份信息。,DEMO-SOURCE-001,
04_客户需求,产品 B,source_date,来源发布日期,date,选填,仅填原文明确的完整日期；不把采集日期、登记日期或估计日期填在这里。,示例：2026-09-03,
04_客户需求,产品 B,captured_at,采集或整理时间,datetime,必填,实际采集/整理时间，采用 ISO 8601 且含时区。,示例：2026-09-03T10:00:00+08:00,
04_客户需求,产品 B,verification_status,核验状态,enum,必填,verified 表示产品已核验相应字段；source-backed 不自动意味着可用。,needs_review,verified | needs_review | conflict
04_客户需求,产品 B,usage_status,使用许可状态,enum,必填,approved 表示已确认可用于本 Demo；pending 待确认；restricted 不可导入演示。,pending,approved | pending | restricted
04_客户需求,产品 B,reviewed_by,核验人,text,条件必填,verification_status 为 verified 时填写实际核验人；不得默认已核验。,产品 A,
04_客户需求,产品 B,notes,缺失与限制说明,text,选填,记录未披露字段、冲突、过期风险等；未知数值留空而不是填 0。,格式示例，非真实数据,
05_匹配验收参考,产品 B,case_id,验收案例 ID,text,必填,本表唯一。,DEMO-M-001,
05_匹配验收参考,产品 B,requirement_id,客户需求 ID,text,必填,必须存在于客户需求表。,DEMO-R-001,
05_匹配验收参考,产品 B,listing_id,挂牌 ID,text,条件必填,recommend/alternative/exclude 时必填且须存在于房源表；no_match 时留空，needs_clarification 可留空。同一房源可有多个客户案例。,DEMO-L-001,
05_匹配验收参考,产品 B,expected_result,人工期望结果,enum,必填,recommend 推荐；alternative 备选；exclude 排除；needs_clarification 需补充信息；no_match 无匹配房源。,needs_clarification,recommend | alternative | exclude | needs_clarification | no_match
05_匹配验收参考,产品 B,expected_rank,人工参考顺序,integer,选填,只在同一需求的候选之间比较；不是成交概率。,1,
05_匹配验收参考,产品 B,matched_conditions,满足的条件,text,条件必填,recommend/alternative 时说明客户条件与房源字段如何对应。,户型满足；预算口径待确认,
05_匹配验收参考,产品 B,conflicting_conditions,冲突条件,text,条件必填,exclude/no_match 时必须解释排除或无匹配依据；其余情况有冲突也需记录。,,
05_匹配验收参考,产品 B,intent_assessment,客户意愿参考,enum,选填,只有客户主动表达或经纪人记录作为依据时填写；无依据用 unknown。,unknown,high | medium | low | unknown
05_匹配验收参考,产品 B,intent_basis,意愿判断依据,text,条件必填,intent_assessment 非 unknown 时需引述具体沟通证据，不从身份/财富推断。,,
05_匹配验收参考,产品 B,pricing_link_ids,价格证据关联 ID,multi_text,选填,引用房源成交关联表的 link_id；多个用 | 分隔。只能使用同一 listing_id 的已审核合格关联。,DEMO-LINK-001,
05_匹配验收参考,产品 B,price_reference_note,价格参考说明,text,选填,说明挂牌与可比成交的关系及限制；无依据不填区间。不是客户成交价预测。,没有已核验关联，暂不提供价格判断,
05_匹配验收参考,产品 B,follow_up_questions,期望追问,text,选填,需求不完整时应该询问什么。,预算是否包含交易费用？,
05_匹配验收参考,产品 B,next_action,期望下一步,text,选填,供经纪人确认使用的建议，不触发外发或自动联系。,先确认预算口径,
05_匹配验收参考,产品 B,case_type,覆盖场景,enum,必填,补齐一客多房、一房多客、预算冲突、无历史、无匹配、信息缺失等验收情形。,missing_fields,standard | multiple_properties | multiple_clients | budget_conflict | no_history | no_match | missing_fields | other
05_匹配验收参考,产品 B,business_reviewer,业务核验人,text,必填,人工参考结果的实际确认人。,产品 B,
05_匹配验收参考,产品 B,review_status,业务确认状态,enum,必填,draft 仅草案；confirmed 才可作为验收基准。,draft,draft | confirmed
05_匹配验收参考,产品 B,reference_evidence,参考答案依据,text,必填,引用客户原文、房源/交易字段及产品规则，不填“AI 认为”作为唯一依据。,DEMO-R-001 原文与 DEMO-L-001 字段,
05_匹配验收参考,产品 B,data_kind,数据性质,enum,必填,任一关联对象为演示，则案例也为 demo。,demo,real_public | real_authorized | demo
05_匹配验收参考,产品 B,notes,备注,text,选填,尚未确认的规则和例外情况。,,
